Income,Spending,Cluster
15,39,2
15,81,4
16,6,2
16,77,4
17,40,2
17,76,4
18,6,2
18,94,4
19,3,2
19,72,4
19,14,2
19,99,4
20,15,2
20,77,4
20,13,2
20,79,4
21,35,2
21,66,4
23,29,2
23,98,4
24,35,2
24,73,4
25,5,2
25,73,4
28,14,2
28,82,4
28,32,2
28,61,4
29,31,2
29,87,4
30,4,2
30,73,4
33,4,2
33,92,4
33,14,2
33,81,4
34,17,2
34,73,4
37,26,2
37,75,4
38,35,2
38,92,4
39,36,2
39,61,1
39,28,2
39,65,4
40,55,1
40,47,1
40,42,1
40,42,1
42,52,1
42,60,1
43,54,1
43,60,1
43,45,1
43,41,1
44,50,1
44,46,1
46,51,1
46,46,1
46,56,1
46,55,1
47,52,1
47,59,1
48,51,1
48,59,1
48,50,1
48,48,1
48,59,1
48,47,1
49,55,1
49,42,1
50,49,1
50,56,1
54,47,1
54,54,1
54,53,1
54,48,1
54,52,1
54,42,1
54,51,1
54,55,1
54,41,1
54,44,1
54,57,1
54,46,1
57,58,1
57,55,1
58,60,1
58,46,1
59,55,1
59,41,1
60,49,1
60,40,1
60,42,1
60,52,1
60,47,1
60,50,1
61,42,1
61,49,1
62,41,1
62,48,1
62,59,1
62,55,1
62,56,1
62,42,1
63,50,1
63,46,1
63,43,1
63,48,1
63,52,1
63,54,1
64,42,1
64,46,1
65,48,1
65,50,1
65,43,1
65,59,1
67,43,1
67,57,1
67,56,1
67,40,1
69,58,1
69,91,0
70,29,3
70,77,0
71,35,1
71,95,0
71,11,3
71,75,0
71,9,3
71,75,0
72,34,1
72,71,0
73,5,3
73,88,0
73,7,3
73,73,0
74,10,3
74,72,0
75,5,3
75,93,0
76,40,1
76,87,0
77,12,3
77,97,0
77,36,3
77,74,0
78,22,3
78,90,0
78,17,3
78,88,0
78,20,3
78,76,0
78,16,3
78,89,0
78,1,3
78,78,0
78,1,3
78,73,0
79,35,3
79,83,0
81,5,3
81,93,0
85,26,3
85,75,0
86,20,3
86,95,0
87,27,3
87,63,0
87,13,3
87,75,0
87,10,3
87,92,0
88,13,3
88,86,0
88,15,3
88,69,0
93,14,3
93,90,0
97,32,3
97,86,0
98,15,3
98,88,0
99,39,3
99,97,0
101,24,3
101,68,0
103,17,3
103,85,0
103,23,3
103,69,0
113,8,3
113,91,0
120,16,3
120,79,0
126,28,3
126,74,0
137,18,3
137,83,0
