sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9695135217776527
6.9,3.1,5.1,2.3,virginica,0.9696066465063486
5.1,2.5,3.0,1.1,versicolor,0.9557388100233358
4.4,2.9,,0.2,setosa,0.6227320937605233
5.9,3.0,5.1,1.8,virginica,0.7754720797823754
5.5,3.5,1.3,0.2,setosa,0.9576017098808495
5.6,,3.6,1.3,versicolor,0.9446401509982462
6.5,3.0,5.2,2.0,virginica,0.9530651188750745
5.3,3.7,1.5,0.2,setosa,0.9628699404123005
5.1,3.4,1.5,,setosa,0.8059720033220196
6.1,2.8,4.0,1.3,versicolor,0.9808534280249831
5.5,2.4,3.7,1.0,versicolor,0.9811318684432798
7.7,3.0,6.1,2.3,virginica,0.9651531095180291
6.9,3.1,4.9,1.5,versicolor,0.752255745783988
6.0,2.2,5.0,1.5,versicolor,0.5906655363451648
